"Possible Locations__ADDRESS","Possible Locations__BLK_NO","Possible Locations__BUILDING","Possible Locations__LATITUDE","Possible Locations__LONGITUDE","Possible Locations__LONGTITUDE","Possible Locations__POSTAL","Possible Locations__ROAD_NAME","Possible Locations__SEARCHVAL","Possible Locations__X","Possible Locations__Y","Station","Station Name"
"13 ORCHARD ROAD DHOBY GHAUT MRT STATION SINGAPORE 238893","13","DHOBY GHAUT MRT STATION","1.29881040867147","103.84634759342","103.84634759342","238893","ORCHARD ROAD","DHOBY GHAUT MRT STATION","29450.0130989393","31241.3783738092","",""
"60 BUKIT TIMAH ROAD LITTLE INDIA MRT STATION SINGAPORE 229900","60","LITTLE INDIA MRT STATION","1.30680002560554","103.84964696645","103.84964696645","229900","BUKIT TIMAH ROAD","LITTLE INDIA MRT STATION","29817.1981863957","32124.8312324211","NE7","Little India"
"62 BUKIT TIMAH ROAD LITTLE INDIA MRT STATION SINGAPORE 229902","62","LITTLE INDIA MRT STATION","1.30701826765227","103.848660935092","103.848660935092","229902","BUKIT TIMAH ROAD","LITTLE INDIA MRT STATION","29707.4618838402","32148.9626245834","",""
"250 RACE COURSE ROAD FARRER PARK MRT STATION SINGAPORE 218703","250","FARRER PARK MRT STATION","1.31190557325777","103.853477716509","103.853477716509","218703","RACE COURSE ROAD","FARRER PARK MRT STATION","30243.5206485633","32689.3795552105","NE8","Farrer Park"
"900 SERANGOON ROAD BOON KENG MRT STATION SINGAPORE 328260","900","BOON KENG MRT STATION","1.31933570922515","103.861569454156","103.861569454156","328260","SERANGOON ROAD","BOON KENG MRT STATION","31144.0450132079","33510.9746132717","NE9","Boon Keng"
"55 UPPER SERANGOON ROAD POTONG PASIR MRT STATION SINGAPORE 347694","55","POTONG PASIR MRT STATION","1.33137952497763","103.869055665485","103.869055665485","347694","UPPER SERANGOON ROAD","POTONG PASIR MRT STATION","31977.1677236725","34842.7289396245","NE10","Potong Pasir"
"400 UPPER SERANGOON ROAD WOODLEIGH MRT STATION SINGAPORE 347695","400","WOODLEIGH MRT STATION","1.33919004519393","103.87081830915","103.87081830915","347695","UPPER SERANGOON ROAD","WOODLEIGH MRT STATION","32173.3185749166","35706.3793633748","NE11","Woodleigh"
"600 UPPER SERANGOON ROAD SERANGOON MRT STATION SINGAPORE 534801","600","SERANGOON MRT STATION","1.34970787487358","103.873574846893","103.873574846893","534801","UPPER SERANGOON ROAD","SERANGOON MRT STATION","32480.0726037696","36869.3923440855","NE12","Serangoon"
"21 SERANGOON CENTRAL SERANGOON MRT STATION SINGAPORE 556082","21","SERANGOON MRT STATION","1.35063361526529","103.872771660431","103.872771660431","556082","SERANGOON CENTRAL","SERANGOON MRT STATION","32390.6852547918","36971.754548572","",""
"900 UPPER SERANGOON ROAD KOVAN MRT STATION SINGAPORE 534799","900","KOVAN MRT STATION","1.36017917065238","103.885064856353","103.885064856353","534799","UPPER SERANGOON ROAD","KOVAN MRT STATION","33758.7578018587","38027.2794417534","NE13","Kovan"
"80 HOUGANG CENTRAL HOUGANG MRT STATION SINGAPORE 538758","80","HOUGANG MRT STATION","1.37129229221246","103.892380518741","103.892380518741","538758","HOUGANG CENTRAL","HOUGANG MRT STATION","34572.8758809753","39256.1311590392","NE14","Hougang"
"10 SENGKANG CENTRAL BUANGKOK MRT STATION SINGAPORE 545061","10","BUANGKOK MRT STATION","1.38287785835055","103.893121564391","103.893121564391","545061","SENGKANG CENTRAL","BUANGKOK MRT STATION","34655.3131560674","40537.2069224827","NE15","Buangkok"
"5 SENGKANG SQUARE SENGKANG MRT STATION SINGAPORE 545062","5","SENGKANG MRT STATION","1.39169462601523","103.895484694279","103.895484694279","545062","SENGKANG SQUARE","SENGKANG MRT STATION","34918.2740132157","41512.1276907381","NE16","Sengkang"
